1500 17.6 34
1500 17.5 35
1500 17.6 36
1500 17.5 37
1500 17.5 38
1500 17.5 39
1500 17.6 40
1500 17.5 41
1500 17.5 42
1500 17.5 43
1500 17.6 44
1500 17.5 45
1500 17.5 46
1500 17.6 47
1500 17.5 48
1500 17.6 49
1500 17.6 50
